,Ranking,Player,Score
0,1,Kareem Abdul-Jabbar,38387
1,2,Karl Malone,36928
2,3,LeBRON JAMES,36526
3,4,Kobe Bryant,33643
4,5,Michael Jordan,32292
5,6,Dirk Nowitzki,31560
6,7,Wilt Chamberlain,31419
7,8,Shaquille O'Neal,28596
8,9,CARMELO ANTHONY,28042
9,10,Moses Malone,27409
10,11,Elvin Hayes,27313
11,12,Hakeem Olajuwon,26946
12,13,Oscar Robertson,26710
13,14,Dominique Wilkins,26668
14,15,Tim Duncan,26496
15,16,Paul Pierce,26397
16,17,John Havlicek,26395
17,18,Kevin Garnett,26071
18,19,Vince Carter,25728
19,20,Alex English,25613
20,21,Reggie Miller,25279
21,22,Jerry West,25192
22,23,KEVIN DURANT,24936
23,24,Patrick Ewing,24815
24,25,Ray Allen,24505
